"Image Name","PID","Session Name","Session#","Mem Usage","Status","User Name","CPU Time","Window Title"
"System Idle Process","0","Services","0","8 K","Unknown","NT AUTHORITY\SYSTEM","165:04:31","N/A"
"System","4","Services","0","7,616 K","Unknown","N/A","1:35:31","N/A"
"Registry","120","Services","0","15,860 K","Unknown","NT AUTHORITY\SYSTEM","0:00:08","N/A"
"smss.exe","444","Services","0","488 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"csrss.exe","740","Services","0","1,860 K","Unknown","NT AUTHORITY\SYSTEM","0:00:09","N/A"
"wininit.exe","856","Services","0","2,220 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"services.exe","928","Services","0","6,348 K","Unknown","NT AUTHORITY\SYSTEM","0:04:35","N/A"
"lsass.exe","948","Services","0","11,584 K","Unknown","NT AUTHORITY\SYSTEM","0:01:07","N/A"
"svchost.exe","308","Services","0","404 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","488","Services","0","23,644 K","Unknown","NT AUTHORITY\SYSTEM","0:17:15","N/A"
"WUDFHost.exe","656","Services","0","5,916 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:03","N/A"
"fontdrvhost.exe","680","Services","0","884 K","Unknown","Font Driver Host\UMFD-0","0:00:00","N/A"
"svchost.exe","1128","Services","0","11,732 K","Unknown","NT AUTHORITY\NETWORK SERVICE","0:03:50","N/A"
"svchost.exe","1184","Services","0","4,864 K","Unknown","NT AUTHORITY\SYSTEM","0:00:05","N/A"
"svchost.exe","1344","Services","0","1,532 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"svchost.exe","1352","Services","0","5,064 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"svchost.exe","1464","Services","0","4,244 K","Unknown","NT AUTHORITY\SYSTEM","0:00:02","N/A"
"svchost.exe","1512","Services","0","1,508 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","1656","Services","0","4,428 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:01","N/A"
"svchost.exe","1688","Services","0","11,120 K","Unknown","NT AUTHORITY\SYSTEM","0:00:09","N/A"
"svchost.exe","1784","Services","0","4,356 K","Unknown","NT AUTHORITY\SYSTEM","0:00:07","N/A"
"svchost.exe","1840","Services","0","9,628 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:03:40","N/A"
"svchost.exe","1876","Services","0","3,284 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:07","N/A"
"svchost.exe","1904","Services","0","3,684 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:28","N/A"
"svchost.exe","1956","Services","0","7,580 K","Unknown","NT AUTHORITY\SYSTEM","0:00:07","N/A"
"atiesrxx.exe","2040","Services","0","1,576 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","1288","Services","0","2,248 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"svchost.exe","1728","Services","0","2,288 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","2092","Services","0","5,300 K","Unknown","NT AUTHORITY\SYSTEM","0:00:01","N/A"
"svchost.exe","2100","Services","0","83,224 K","Unknown","NT AUTHORITY\SYSTEM","0:29:10","N/A"
"svchost.exe","2108","Services","0","1,364 K","Unknown","NT AUTHORITY\SYSTEM","0:00:01","N/A"
"svchost.exe","2116","Services","0","3,612 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:01","N/A"
"svchost.exe","2232","Services","0","2,012 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"Memory Compression","2292","Services","0","3,86,116 K","Unknown","NT AUTHORITY\SYSTEM","0:05:18","N/A"
"svchost.exe","2360","Services","0","7,416 K","Unknown","NT AUTHORITY\NETWORK SERVICE","0:00:42","N/A"
"svchost.exe","2368","Services","0","10,548 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:04:49","N/A"
"svchost.exe","2380","Services","0","4,116 K","Unknown","NT AUTHORITY\SYSTEM","0:00:01","N/A"
"igfxCUIService.exe","2456","Services","0","2,756 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","2500","Services","0","6,000 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:02:21","N/A"
"svchost.exe","2540","Services","0","3,728 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:01","N/A"
"svchost.exe","2536","Services","0","3,272 K","Unknown","NT AUTHORITY\SYSTEM","0:00:02","N/A"
"svchost.exe","2704","Services","0","6,052 K","Unknown","NT AUTHORITY\SYSTEM","0:00:07","N/A"
"svchost.exe","2796","Services","0","3,592 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"svchost.exe","2860","Services","0","7,976 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:20","N/A"
"svchost.exe","3068","Services","0","12,424 K","Unknown","NT AUTHORITY\SYSTEM","0:01:47","N/A"
"PresentationFontCache.exe","3416","Services","0","2,192 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"svchost.exe","3688","Services","0","2,540 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","3900","Services","0","11,720 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:02","N/A"
"svchost.exe","2908","Services","0","6,372 K","Unknown","NT AUTHORITY\SYSTEM","0:00:01","N/A"
"svchost.exe","3224","Services","0","13,720 K","Unknown","NT AUTHORITY\SYSTEM","0:00:10","N/A"
"RtkAudioService64.exe","1144","Services","0","2,220 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","3896","Services","0","2,676 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:02","N/A"
"svchost.exe","3880","Services","0","4,496 K","Unknown","NT AUTHORITY\NETWORK SERVICE","0:00:50","N/A"
"svchost.exe","3892","Services","0","6,504 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:08","N/A"
"svchost.exe","4104","Services","0","3,788 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:15","N/A"
"svchost.exe","4292","Services","0","9,064 K","Unknown","NT AUTHORITY\SYSTEM","0:00:49","N/A"
"svchost.exe","4320","Services","0","3,652 K","Unknown","NT AUTHORITY\SYSTEM","0:00:01","N/A"
"spoolsv.exe","4440","Services","0","4,568 K","Unknown","NT AUTHORITY\SYSTEM","0:00:02","N/A"
"svchost.exe","4480","Services","0","11,208 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:05","N/A"
"svchost.exe","4560","Services","0","2,576 K","Unknown","NT AUTHORITY\NETWORK SERVICE","0:00:02","N/A"
"svchost.exe","4680","Services","0","1,916 K","Unknown","NT AUTHORITY\SYSTEM","0:00:05","N/A"
"svchost.exe","4688","Services","0","2,920 K","Unknown","NT AUTHORITY\NETWORK SERVICE","0:00:21","N/A"
"svchost.exe","4816","Services","0","22,668 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:02:21","N/A"
"svchost.exe","4840","Services","0","7,212 K","Unknown","NT AUTHORITY\NETWORK SERVICE","0:00:06","N/A"
"svchost.exe","4856","Services","0","20,264 K","Unknown","NT AUTHORITY\SYSTEM","0:00:14","N/A"
"svchost.exe","4864","Services","0","13,556 K","Unknown","NT AUTHORITY\SYSTEM","0:00:08","N/A"
"svchost.exe","4868","Services","0","2,552 K","Unknown","NT AUTHORITY\NETWORK SERVICE","0:00:01","N/A"
"svchost.exe","4880","Services","0","14,168 K","Unknown","NT AUTHORITY\SYSTEM","0:01:15","N/A"
"svchost.exe","4888","Services","0","2,372 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:02","N/A"
"svchost.exe","4896","Services","0","1,648 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","5076","Services","0","5,164 K","Unknown","NT AUTHORITY\SYSTEM","0:00:02","N/A"
"svchost.exe","5084","Services","0","980 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"AdminService.exe","4368","Services","0","2,056 K","Unknown","NT AUTHORITY\SYSTEM","0:00:14","N/A"
"SmartByteNetworkService.exe","4504","Services","0","37,716 K","Unknown","NT AUTHORITY\SYSTEM","0:13:42","N/A"
"SecurityHealthService.exe","4636","Services","0","6,416 K","Unknown","NT AUTHORITY\SYSTEM","0:00:13","N/A"
"MotoHelperService.exe","4652","Services","0","3,252 K","Unknown","NT AUTHORITY\SYSTEM","0:00:01","N/A"
"ForwardDaemon.exe","5128","Services","0","1,004 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"esif_uf.exe","5140","Services","0","1,812 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"mfemms.exe","5244","Services","0","2,796 K","Unknown","NT AUTHORITY\SYSTEM","0:00:11","N/A"
"QcomWlanSrvx64.exe","5264","Services","0","1,248 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"ModuleCoreService.exe","5292","Services","0","43,532 K","Unknown","NT AUTHORITY\SYSTEM","0:03:49","N/A"
"WavesSysSvc64.exe","5300","Services","0","808 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"servicehost.exe","5308","Services","0","25,184 K","Unknown","NT AUTHORITY\SYSTEM","0:00:59","N/A"
"PEFService.exe","5324","Services","0","732 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","5376","Services","0","1,736 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"IntelCpHDCPSvc.exe","5496","Services","0","1,136 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","5616","Services","0","6,100 K","Unknown","NT AUTHORITY\SYSTEM","0:00:15","N/A"
"svchost.exe","5728","Services","0","4,644 K","Unknown","NT AUTHORITY\SYSTEM","0:00:01","N/A"
"IntelCpHeciSvc.exe","6016","Services","0","1,228 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"mfevtps.exe","6232","Services","0","1,032 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"MMSSHOST.exe","6420","Services","0","49,452 K","Unknown","NT AUTHORITY\SYSTEM","0:09:22","N/A"
"mfevtps.exe","6428","Services","0","9,240 K","Unknown","NT AUTHORITY\SYSTEM","0:02:19","N/A"
"ProtectedModuleHost.exe","6504","Services","0","2,452 K","Unknown","NT AUTHORITY\SYSTEM","0:00:01","N/A"
"MfeAVSvc.exe","5848","Services","0","16,584 K","Unknown","NT AUTHORITY\SYSTEM","0:02:37","N/A"
"mfefire.exe","7200","Services","0","5,068 K","Unknown","NT AUTHORITY\SYSTEM","0:02:46","N/A"
"mcapexe.exe","7360","Services","0","1,464 K","Unknown","NT AUTHORITY\SYSTEM","0:00:01","N/A"
"McCSPServiceHost.exe","7368","Services","0","15,716 K","Unknown","NT AUTHORITY\SYSTEM","0:00:39","N/A"
"svchost.exe","7436","Services","0","4,064 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:15","N/A"
"mcshield.exe","8796","Services","0","14,396 K","Unknown","NT AUTHORITY\SYSTEM","0:07:36","N/A"
"WmiPrvSE.exe","9804","Services","0","33,552 K","Unknown","NT AUTHORITY\SYSTEM","0:01:23","N/A"
"svchost.exe","10464","Services","0","6,320 K","Unknown","NT AUTHORITY\SYSTEM","0:00:18","N/A"
"svchost.exe","10512","Services","0","4,828 K","Unknown","NT AUTHORITY\SYSTEM","0:00:42","N/A"
"dllhost.exe","11676","Services","0","3,848 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"SearchIndexer.exe","4916","Services","0","76,464 K","Unknown","NT AUTHORITY\SYSTEM","0:07:57","N/A"
"svchost.exe","3368","Services","0","16,920 K","Unknown","NT AUTHORITY\SYSTEM","0:00:35","N/A"
"svchost.exe","11668","Services","0","3,636 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:01","N/A"
"DDVRulesProcessor.exe","10128","Services","0","4,428 K","Unknown","NT AUTHORITY\SYSTEM","0:00:01","N/A"
"DSAPI.exe","9516","Services","0","30,528 K","Unknown","NT AUTHORITY\SYSTEM","0:01:42","N/A"
"GoogleCrashHandler.exe","9452","Services","0","200 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"GoogleCrashHandler64.exe","9240","Services","0","196 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"DellSupportAssistRemedationService.exe","12436","Services","0","20,388 K","Unknown","NT AUTHORITY\SYSTEM","0:00:28","N/A"
"pcdrwi.exe","12488","Services","0","35,908 K","Unknown","NT AUTHORITY\SYSTEM","0:01:57","N/A"
"conhost.exe","12496","Services","0","1,052 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"ServiceShell.exe","12564","Services","0","15,172 K","Unknown","NT AUTHORITY\SYSTEM","0:01:00","N/A"
"dllhost.exe","9144","Services","0","2,028 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"msdtc.exe","13180","Services","0","812 K","Unknown","NT AUTHORITY\NETWORK SERVICE","0:00:00","N/A"
"DeliveryService.exe","11804","Services","0","7,280 K","Unknown","NT AUTHORITY\SYSTEM","0:00:05","N/A"
"svchost.exe","13692","Services","0","8,596 K","Unknown","NT AUTHORITY\NETWORK SERVICE","0:01:07","N/A"
"IAStorDataMgrSvc.exe","760","Services","0","6,828 K","Unknown","NT AUTHORITY\SYSTEM","0:00:11","N/A"
"jhi_service.exe","8828","Services","0","1,052 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"LMS.exe","8748","Services","0","2,024 K","Unknown","NT AUTHORITY\SYSTEM","0:00:02","N/A"
"svchost.exe","13040","Services","0","12,780 K","Unknown","NT AUTHORITY\SYSTEM","0:00:07","N/A"
"svchost.exe","13864","Services","0","6,112 K","Unknown","NT AUTHORITY\SYSTEM","0:00:19","N/A"
"sedsvc.exe","6912","Services","0","928 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"SgrmBroker.exe","5444","Services","0","3,120 K","Unknown","NT AUTHORITY\SYSTEM","0:00:03","N/A"
"SupportAssistAgent.exe","9180","Services","0","36,916 K","Unknown","NT AUTHORITY\SYSTEM","0:01:27","N/A"
"DDVDataCollector.exe","11744","Services","0","10,748 K","Unknown","NT AUTHORITY\SYSTEM","0:00:17","N/A"
"DDVCollectorSvcApi.exe","5180","Services","0","1,020 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","17400","Services","0","3,172 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"csrss.exe","18576","","3","816 K","Unknown","NT AUTHORITY\SYSTEM","0:03:01","N/A"
"svchost.exe","7408","Services","0","7,248 K","Unknown","NT AUTHORITY\SYSTEM","0:00:02","N/A"
"dasHost.exe","17588","Services","0","6,244 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"dasHost.exe","5868","Services","0","7,708 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:01","N/A"
"csrss.exe","14524","","6","2,916 K","Unknown","NT AUTHORITY\SYSTEM","0:02:39","N/A"
"sedlauncher.exe","10664","Services","0","1,884 K","Unknown","NT AUTHORITY\SYSTEM","0:01:03","N/A"
"conhost.exe","16984","Services","0","492 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"RNDBWMService.exe","22524","Services","0","12,128 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"RNDBWM.exe","17084","Services","0","10,236 K","Unknown","NT AUTHORITY\SYSTEM","0:02:53","N/A"
"conhost.exe","7108","Services","0","5,676 K","Unknown","NT AUTHORITY\SYSTEM","0:00:03","N/A"
"svchost.exe","6376","Services","0","13,380 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","17764","Services","0","5,728 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"svchost.exe","14120","Services","0","8,196 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"csrss.exe","23180","Console","7","5,468 K","Running","NT AUTHORITY\SYSTEM","0:09:04","N/A"
"winlogon.exe","10884","Console","7","7,820 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"dwm.exe","22716","Console","7","48,948 K","Running","Window Manager\DWM-7","0:18:42","DWM Notification Window"
"fontdrvhost.exe","22812","Console","7","7,844 K","Unknown","Font Driver Host\UMFD-7","0:00:02","N/A"
"atieclxx.exe","8916","Console","7","8,444 K","Running","NT AUTHORITY\SYSTEM","0:02:31","AMD EEU Client"
"dptf_helper.exe","908","Console","7","3,336 K","Unknown","DESKTOP-CQQD3AF\Prathamesh","0:00:01","N/A"
"RAVBg64.exe","7048","Console","7","9,576 K","Running","NT AUTHORITY\SYSTEM","0:00:00","Realtek HD Audio Background Process for Vista"
"uihost.exe","11208","Console","7","29,764 K","Unknown","DESKTOP-CQQD3AF\Prathamesh","0:00:02","N/A"
"sihost.exe","6008","Console","7","24,852 K","Running","DESKTOP-CQQD3AF\Prathamesh","0:00:09","N/A"
"svchost.exe","15708","Console","7","20,528 K","Unknown","DESKTOP-CQQD3AF\Prathamesh","0:00:09","N/A"
"svchost.exe","8792","Console","7","29,240 K","Running","DESKTOP-CQQD3AF\Prathamesh","0:00:05","Windows Push Notifications Platform"
"taskhostw.exe","20020","Console","7","16,392 K","Running","DESKTOP-CQQD3AF\Prathamesh","0:00:03","Task Host Window"
"explorer.exe","3436","Console","7","1,30,624 K","Running","DESKTOP-CQQD3AF\Prathamesh","0:05:41","N/A"
"igfxEM.exe","9608","Console","7","20,116 K","Running","DESKTOP-CQQD3AF\Prathamesh","0:00:01","The Event Manager Dashboard"
"MotoHelperAgent.exe","2876","Console","7","9,404 K","Running","DESKTOP-CQQD3AF\Prathamesh","0:00:00","{FF761C85-8F59-4fb1-ACDF-C3FEA065ADF8}"
"ShellExperienceHost.exe","4144","Console","7","92,920 K","Running","DESKTOP-CQQD3AF\Prathamesh","0:00:05","Jump List for Command Prompt"
"dllhost.exe","15332","Console","7","8,332 K","Running","DESKTOP-CQQD3AF\Prathamesh","0:00:00","OleMainThreadWndName"
"SearchUI.exe","10868","Console","7","2,01,288 K","Running","DESKTOP-CQQD3AF\Prathamesh","0:00:36","Cortana"
"RuntimeBroker.exe","22424","Console","7","23,188 K","Unknown","DESKTOP-CQQD3AF\Prathamesh","0:00:02","N/A"
"RuntimeBroker.exe","13320","Console","7","33,412 K","Running","DESKTOP-CQQD3AF\Prathamesh","0:00:06","N/A"
"SkypeApp.exe","17004","Console","7","31,956 K","Running","DESKTOP-CQQD3AF\Prathamesh","0:00:00","N/A"
"SkypeBackgroundHost.exe","14004","Console","7","10,244 K","Unknown","DESKTOP-CQQD3AF\Prathamesh","0:00:00","N/A"
"ctfmon.exe","4640","Console","7","15,260 K","Running","DESKTOP-CQQD3AF\Prathamesh","0:00:38","N/A"
"RuntimeBroker.exe","19812","Console","7","13,660 K","Running","DESKTOP-CQQD3AF\Prathamesh","0:00:00","OleMainThreadWndName"
"RadeonSettings.exe","8612","Console","7","3,644 K","Running","DESKTOP-CQQD3AF\Prathamesh","0:00:08","RadeonSettings"
"MSASCuiL.exe","14592","Console","7","7,632 K","Running","DESKTOP-CQQD3AF\Prathamesh","0:00:00","N/A"
"RtkNGUI64.exe","18148","Console","7","11,408 K","Running","DESKTOP-CQQD3AF\Prathamesh","0:00:00","Realtek HD Audio New GUI background window"
"RAVBg64.exe","22116","Console","7","8,668 K","Running","DESKTOP-CQQD3AF\Prathamesh","0:00:00","Realtek HD Audio Background Process for Vista"
"WavesSvc64.exe","15484","Console","7","15,600 K","Running","DESKTOP-CQQD3AF\Prathamesh","0:00:03","WavesFXConnection_Capture"
"OneDrive.exe","19096","Console","7","47,956 K","Running","DESKTOP-CQQD3AF\Prathamesh","0:00:01","DDE Server Window"
"RadeonSettings.exe","15508","Console","7","5,836 K","Running","DESKTOP-CQQD3AF\Prathamesh","0:00:08","RADEON SETTINGS"
"RadeonSettings.exe","1452","Console","7","6,016 K","Running","DESKTOP-CQQD3AF\Prathamesh","0:00:08","RadeonSettings"
"RadeonSettings.exe","19492","Console","7","5,896 K","Running","DESKTOP-CQQD3AF\Prathamesh","0:00:08","RadeonSettings"
"ModuleCoreService.exe","13636","Console","7","12,124 K","Running","DESKTOP-CQQD3AF\Prathamesh","0:00:02","{30A1588D-127B-4CC0-BA47-B11825F07731}"
"conhost.exe","7072","Console","7","3,984 K","Unknown","DESKTOP-CQQD3AF\Prathamesh","0:00:00","N/A"
"chrome.exe","17616","Console","7","1,68,112 K","Running","DESKTOP-CQQD3AF\Prathamesh","0:14:50","windows - What's the easiest way to save Task Manager's Processes tab as a CSV file? - Super User - Google Chrome"
"chrome.exe","19048","Console","7","6,996 K","Running","DESKTOP-CQQD3AF\Prathamesh","0:00:00","N/A"
"chrome.exe","10496","Console","7","7,236 K","Running","DESKTOP-CQQD3AF\Prathamesh","0:00:00","N/A"
"chrome.exe","9208","Console","7","1,86,012 K","Running","DESKTOP-CQQD3AF\Prathamesh","0:13:50","N/A"
"chrome.exe","2180","Console","7","42,556 K","Unknown","DESKTOP-CQQD3AF\Prathamesh","0:02:01","N/A"
"chrome.exe","9476","Console","7","1,63,300 K","Unknown","DESKTOP-CQQD3AF\Prathamesh","0:03:23","N/A"
"chrome.exe","4852","Console","7","41,348 K","Unknown","DESKTOP-CQQD3AF\Prathamesh","0:00:08","N/A"
"cmd.exe","6260","Console","7","1,972 K","Running","DESKTOP-CQQD3AF\Prathamesh","0:00:00","C:\Windows\system32\cmd.exe"
"conhost.exe","22728","Console","7","4,900 K","Unknown","DESKTOP-CQQD3AF\Prathamesh","0:00:00","N/A"
"browserhost.exe","9472","Console","7","5,988 K","Unknown","DESKTOP-CQQD3AF\Prathamesh","0:00:01","N/A"
"IAStorIcon.exe","11240","Console","7","27,952 K","Running","DESKTOP-CQQD3AF\Prathamesh","0:00:01","N/A"
"svchost.exe","3220","Console","7","9,500 K","Unknown","DESKTOP-CQQD3AF\Prathamesh","0:00:00","N/A"
"RuntimeBroker.exe","3516","Console","7","24,716 K","Running","DESKTOP-CQQD3AF\Prathamesh","0:00:07","OLEChannelWnd"
"chrome.exe","13220","Console","7","69,684 K","Unknown","DESKTOP-CQQD3AF\Prathamesh","0:07:29","N/A"
"SmartByteTelemetry.exe","21200","Console","7","8,748 K","Running","DESKTOP-CQQD3AF\Prathamesh","0:00:38",".NET-BroadcastEventWindow.4.0.0.0.201d787.0"
"chrome.exe","17276","Console","7","36,320 K","Unknown","DESKTOP-CQQD3AF\Prathamesh","0:00:21","N/A"
"atiw.exe","20056","Console","7","8,376 K","Running","DESKTOP-CQQD3AF\Prathamesh","0:00:00","N/A"
"McUICnt.exe","10852","Console","7","28,316 K","Running","DESKTOP-CQQD3AF\Prathamesh","0:00:11","N/A"
"dllhost.exe","14484","Console","7","10,884 K","Running","DESKTOP-CQQD3AF\Prathamesh","0:00:00","OleMainThreadWndName"
"sublime_text.exe","15816","Console","7","63,460 K","Running","DESKTOP-CQQD3AF\Prathamesh","0:03:21","C:\Users\Prathamesh\Desktop\eg.py (django-timeandproductivity) - Sublime Text (UNREGISTERED)"
"plugin_host.exe","13028","Console","7","11,156 K","Unknown","DESKTOP-CQQD3AF\Prathamesh","0:00:05","N/A"
"LockApp.exe","19280","Console","7","38,852 K","Running","DESKTOP-CQQD3AF\Prathamesh","0:00:00","Windows Default Lock Screen"
"RuntimeBroker.exe","23372","Console","7","26,852 K","Running","DESKTOP-CQQD3AF\Prathamesh","0:00:00","N/A"
"WmiPrvSE.exe","14500","Services","0","10,120 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:01","N/A"
"svchost.exe","11888","Services","0","4,740 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"svchost.exe","19808","Services","0","7,396 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"chrome.exe","12216","Console","7","39,892 K","Unknown","DESKTOP-CQQD3AF\Prathamesh","0:00:03","N/A"
"chrome.exe","19984","Console","7","55,864 K","Unknown","DESKTOP-CQQD3AF\Prathamesh","0:02:56","N/A"
"ApplicationFrameHost.exe","4568","Console","7","22,364 K","Unknown","DESKTOP-CQQD3AF\Prathamesh","0:00:00","N/A"
"chrome.exe","13708","Console","7","1,04,568 K","Unknown","DESKTOP-CQQD3AF\Prathamesh","0:00:54","N/A"
"chrome.exe","23176","Console","7","83,580 K","Unknown","DESKTOP-CQQD3AF\Prathamesh","0:00:26","N/A"
"chrome.exe","19712","Console","7","31,824 K","Unknown","DESKTOP-CQQD3AF\Prathamesh","0:00:00","N/A"
"chrome.exe","23224","Console","7","31,956 K","Unknown","DESKTOP-CQQD3AF\Prathamesh","0:00:00","N/A"
"chrome.exe","15780","Console","7","32,316 K","Unknown","DESKTOP-CQQD3AF\Prathamesh","0:00:00","N/A"
"chrome.exe","21120","Console","7","33,236 K","Unknown","DESKTOP-CQQD3AF\Prathamesh","0:00:01","N/A"
"chrome.exe","21060","Console","7","34,328 K","Unknown","DESKTOP-CQQD3AF\Prathamesh","0:00:00","N/A"
"chrome.exe","21168","Console","7","32,004 K","Unknown","DESKTOP-CQQD3AF\Prathamesh","0:00:00","N/A"
"chrome.exe","7576","Console","7","28,676 K","Unknown","DESKTOP-CQQD3AF\Prathamesh","0:00:00","N/A"
"chrome.exe","12332","Console","7","30,100 K","Unknown","DESKTOP-CQQD3AF\Prathamesh","0:00:00","N/A"
"cmd.exe","2868","Console","7","3,104 K","Running","DESKTOP-CQQD3AF\Prathamesh","0:00:00","Administrator: Command Prompt - TASKLIST  /V /FO CSV "
"conhost.exe","17148","Console","7","10,704 K","Running","DESKTOP-CQQD3AF\Prathamesh","0:00:02","CicMarshalWnd"
"notepad.exe","17904","Console","7","14,988 K","Running","DESKTOP-CQQD3AF\Prathamesh","0:00:01","tt - Notepad"
"pythonw.exe","6840","Console","7","37,464 K","Running","DESKTOP-CQQD3AF\Prathamesh","0:00:12","*eg.py - C:\Users\Prathamesh\Desktop\eg.py (3.7.2)*"
"svchost.exe","4492","Services","0","5,620 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"chrome.exe","1092","Console","7","92,188 K","Unknown","DESKTOP-CQQD3AF\Prathamesh","0:00:05","N/A"
"chrome.exe","10152","Console","7","22,428 K","Unknown","DESKTOP-CQQD3AF\Prathamesh","0:00:00","N/A"
"SearchProtocolHost.exe","12628","Services","0","7,480 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"SearchFilterHost.exe","19548","Services","0","6,384 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"smartscreen.exe","18688","Console","7","20,444 K","Unknown","DESKTOP-CQQD3AF\Prathamesh","0:00:00","N/A"
"SearchProtocolHost.exe","11536","Console","7","6,796 K","Unknown","DESKTOP-CQQD3AF\Prathamesh","0:00:00","N/A"
"WmiPrvSE.exe","15592","Services","0","11,836 K","Unknown","NT AUTHORITY\NETWORK SERVICE","0:00:00","N/A"
"tasklist.exe","11384","Console","7","8,644 K","Unknown","DESKTOP-CQQD3AF\Prathamesh","0:00:00","N/A"
